group,year,p1,p2,n,z,a1,a2,a3,a4,m1,obj_cost,yield,test_cost,mod_cost,downsteam_NMC,resid_risk1,resid_risk2,season
NY-109-2017-H,2017,0,0,8543.02119673798,1,0,0,0,0,0,170860.42393476,8543.02119673798,0,0,0,0,0,H
NY-109-2017-L,2017,0,0,8543.02119673798,1,0,0,0,0,0,170860.42393476,8543.02119673798,0,0,0,0,0,L
NY-110-2017-H,2017,1.27662003563581e-05,0.000255324007127161,3916.59214208542,1,0,0,0,1,0,104359.854450332,3915.64213816983,23499.5528525125,0,2386.53704435001,1.27662003563581e-05,1.27662003563581e-05,H
NY-110-2017-L,2017,0,0,3916.59214208542,1,0,0,0,0,0,78331.8428417084,3916.59214208542,0,0,0,0,0,L
NY-111-2017-H,2017,1.53615339979129e-05,0,3254.88326926159,1,0,0,0,0,0,65584.6214295818,3254.88326926159,0,0,486.956044349998,1.53615339979129e-05,0,H
NY-111-2017-L,2017,0,0,3254.88326926159,1,0,0,0,0,0,65097.6653852318,3254.88326926159,0,0,0,0,0,L
NY-112-2017-H,2017,2.51106833743183e-06,2.51106833743183e-05,39823.6871969299,1,0,0,0,0,0,835439.276027298,39823.6871969299,0,0,38965.5320887,2.51106833743183e-06,2.51106833743183e-05,H
NY-112-2017-L,2017,5.02213667486365e-05,0,39823.6871969299,1,0,0,0,0,0,815951.985712598,39823.6871969299,0,0,19478.241774,5.02213667486365e-05,0,L
NY-113-2017-H,2017,0,0,18615.5028437928,1,0,0,0,0,0,372310.056875856,18615.5028437928,0,0,0,0,0,H
NY-113-2017-L,2017,0,0,18615.5028437928,1,0,0,0,0,0,372310.056875856,18615.5028437928,0,0,0,0,0,L
NY-114-2017-H,2017,4.31419349014271e-06,0,11589.6517192014,1,0,0,0,0,0,232279.990428378,11589.6517192014,0,0,486.95604435,4.31419349014271e-06,0,H
NY-114-2017-L,2017,0,0,11589.6517192014,1,0,0,0,0,0,231793.034384028,11589.6517192014,0,0,0,0,0,L
NY-115-2017-H,2017,0,8.72810555754301e-05,11457.2399864685,1,0,0,0,0,0,267136.41972937,11457.2399864685,0,0,37991.6199999999,0,8.72810555754301e-05,H
NY-115-2017-L,2017,4.36405277877151e-06,0,11457.2399864685,1,0,0,0,0,0,229631.75577372,11457.2399864685,0,0,486.956044349999,4.36405277877151e-06,0,L
NY-116-2017-H,2017,0,0,1828.10233023061,1,0,0,0,0,0,36562.0466046122,1828.10233023061,0,0,0,0,0,H
NY-116-2017-L,2017,0,0,1828.10233023061,1,0,0,0,0,0,36562.0466046122,1828.10233023061,0,0,0,0,0,L
NY-117-2017-H,2017,2.0081984996847e-06,0,24897.9371351241,1,0,0,0,0,0,498445.698746832,24897.9371351241,0,0,486.956044350002,2.0081984996847e-06,0,H
NY-117-2017-L,2017,0,0,24897.9371351241,1,0,0,0,0,0,497958.742702482,24897.9371351241,0,0,0,0,0,L
NY-118-2017-H,2017,0,0,1155.74073635359,1,0,0,0,0,0,23114.8147270718,1155.74073635359,0,0,0,0,0,H
NY-118-2017-L,2017,0,0,1155.74073635359,1,0,0,0,0,0,23114.8147270718,1155.74073635359,0,0,0,0,0,L
NY-119-2017-H,2017,0,0,3966.13524477462,1,0,0,0,0,0,79322.7048954924,3966.13524477462,0,0,0,0,0,H
NY-119-2017-L,2017,0,0,3966.13524477462,1,0,0,0,0,0,79322.7048954924,3966.13524477462,0,0,0,0,0,L
NY-120-2017-H,2017,0,0,5260.44085273808,1,0,0,0,0,0,105208.817054762,5260.44085273808,0,0,0,0,0,H
